type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,7/26/2025 17:04,T1,-0.638053687,-76.15139695,9929461.53,371877.5586,,FALSE,FALSE,,,200.08,,,2025/07/26 12:57:14+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:57,,
TRACK,7/26/2025 17:04,T1,-0.638059974,-76.15135278,9929460.836,371882.4748,,FALSE,FALSE,,,200.28,,,2025/07/26 12:57:34+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:57,,
TRACK,7/26/2025 17:04,T1,-0.637992835,-76.15132864,9929468.259,371885.1597,,FALSE,FALSE,,,200.14,,,2025/07/26 12:57:54+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:57,,
TRACK,7/26/2025 17:04,T1,-0.638020579,-76.15135462,9929465.191,371882.2686,,FALSE,FALSE,,,199.65,,,2025/07/26 12:58:14+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:58,,
TRACK,7/26/2025 17:04,T1,-0.638045557,-76.15137046,9929462.429,371880.5061,,FALSE,FALSE,,,201.82,,,2025/07/26 12:58:34+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:58,,
TRACK,7/26/2025 17:04,T1,-0.638110433,-76.15135445,9929455.258,371882.2894,,FALSE,FALSE,,,203.1,,,2025/07/26 12:58:54+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:58,,
TRACK,7/26/2025 17:04,T1,-0.638094172,-76.15140106,9929457.054,371877.1025,,FALSE,FALSE,,,204.04,,,2025/07/26 12:59:14+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:59,,
TRACK,7/26/2025 17:04,T1,-0.63806098,-76.15154338,9929460.72,371861.2623,,FALSE,FALSE,,,205.4,,,2025/07/26 12:59:34+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:59,,
TRACK,7/26/2025 17:04,T1,-0.63815075,-76.15157615,9929450.795,371857.6171,,FALSE,FALSE,,,206.24,,,2025/07/26 12:59:54+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 7:59,,
TRACK,7/26/2025 17:04,T1,-0.638221158,-76.15150935,9929443.013,371865.0535,,FALSE,FALSE,,,205.5,,,2025/07/26 13:00:14+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:00,,
TRACK,7/26/2025 17:04,T1,-0.638254853,-76.15134884,9929439.292,371882.918,,FALSE,FALSE,,,201.36,,,2025/07/26 13:00:34+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:00,,
TRACK,7/26/2025 17:04,T1,-0.638226019,-76.15124306,9929442.482,371894.6896,,FALSE,FALSE,,,201.77,,,2025/07/26 13:00:54+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:00,,
TRACK,7/26/2025 17:04,T1,-0.638213949,-76.15119796,9929443.818,371899.7079,,FALSE,FALSE,,,205.08,,,2025/07/26 13:01:14+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:01,,
TRACK,7/26/2025 17:04,T1,-0.638185535,-76.15118665,9929446.959,371900.9665,,FALSE,FALSE,,,205.63,,,2025/07/26 13:01:34+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:01,,
TRACK,7/26/2025 17:04,T1,-0.638198862,-76.15119067,9929445.486,371900.5191,,FALSE,FALSE,,,206.3,,,2025/07/26 13:01:54+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:01,,
TRACK,7/26/2025 17:04,T1,-0.638235491,-76.15122437,9929441.435,371896.77,,FALSE,FALSE,,,205.71,,,2025/07/26 13:02:14+00,garmin GPSMAP 65 Software Version 460,,7/26/2025 8:02,,
