Playback_Number,Audio_ID,Playback_Species,Model_Used,ModelOnly,Observers,Date,Time,Control,Waypoint_ID,GPS,FS,Focal_ID,FecalSamp,Genus,Group_ID,Context,InfantsJuveniles_Present,VerticalDistPre_m,HorizontalDistPre,NumberIndividualsIn10mPre,GroupCompPre,VerticalDistancePost,HorizontalDistancePost,NumberIndividualsIn10mPost,GroupCompPost,Response,ResponseType,ResponseLatencyFromFirstNote_seconds,ResponseLength_seconds,AwayTowardsNone,UpDownNone,GroupMembersReact?,DataAudioVideoFile,Notes
PB-25-001,ScreamingPiha6,Screaming Piha,FALSE,FALSE,Nico Jaworski/Jack Jaworski/Lucas Atherton/,2025-06-27,15:04,TRUE,NA,GPS PP19,FS72711,Gata/,TRUE,Lagothrix,G/,Moving/,FALSE,20-30/,0-2/,1/,Gata/,20-30/,0-2/,1/,Gata/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0012/,"Gata was moving up a tree at the time, need to ensure that playback audio is actually being heard might be too quiet given how high he was"
PB-25-002,Jaguar2,Jaguar,FALSE,FALSE,Nico Jaworski/Jack Jaworski/Lucas Atherton/,2025-06-27,15:52,FALSE,NA,GPS PP19,FS72711,AM/,FALSE,Lagothrix,G/,Foraging/,TRUE,10-15/,0-2/,2/,AM/UNK/,10-15/,0-2/,2/,AM/UNK/,TRUE,Vigilance/,0-2/,NA/,NA/,NA/,No/,ZOOM0013/,"Did not look at speaker, paused foraging and became vigilance, began eating again but was pausing to scan the area around him. No reaction from conspecifics."
PB-25-003,ScreamingPiha9,Screaming Piha,FALSE,FALSE,Nico Jaworski/Jack Jaworski/Lucas Atherton/,2025-06-29,9:00,TRUE,NA,GPS PP19,FS72608,Gata/,TRUE,Lagothrix,G/,Foraging/,FALSE,10-15/,5-10/,1/,Gata/,10-15/,5-10/,1/,Gata/,FALSE,None/,NA/,NA/,NA/,NA/,No/,MVI_0440/,"No response, Gata continued to forage on iriartaea as the playback was played and after the stimulus had finished playing."
PB-25-004,Jaguar3,Jaguar,FALSE,FALSE,Nico Jaworski/Jack Jaworski/Lucas Atherton/,2025-06-29,13:34,FALSE,PB25004,GPS PP19,FS72610,Gata/,TRUE,Lagothrix,G/,Resting/,TRUE,10-15/,5-10/,4/,Gata/UNK/UNK/UNK/,10-15/,5-10/,4/,Gata/UNK/UNK/UNK,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0016/MVI_0441/,"Gata did not respond to the stimulus, he remained curled up while and after the playback was being played. Those in proximity to him did not have any reaction to the stimulus either"
PB-25-005,ScreamingPiha7,Screaming Piha,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-01,11:41,TRUE,PB25005,GPS PP19,FS72719,AM/,FALSE,Lagothrix,G/,Resting/,TRUE,5-10/,5-10/,2/,JF2/AM/ ,5-10/,5-10/,2/,JF2/AM/ ,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0017/MVI_0561/,AM did not respond or orient towards the speaker. Another nearby indiviudal chirpped after the stimulus and he responded to this chirp with another chirp
PB-25-006,HarpyEagle6v2,Harpy Eagle,FALSE,FALSE,Nico Jaworski/Jack Jaworski/Lucas Atherton/,2025-07-01,12:21,FALSE,PB25006,GPS PP19,FS72719,AM/,FALSE,Lagothrix,G/,Foraging/,TRUE,10/,5/,6/,AM/AM/AF/AF/JF2/JF2/,5-10/,2-5/,6/,AM/AM/AF/AF/JF2/JF2/,TRUE,Movement/Vigilance/,2/,70/,Towards/,Down/,Yes/Away/Down/Vocalize/AgitatedChirps/,ZOOM0018/MVI_0564/,Within about two seconds of the first note of the playback the focal AM moved down and to the left of its former position. When the first note went out the focal paused foraging and shot its head up before moving its position once the second note was heard. He moved from the edge of the tree to the center of it in the direction of the speaker. He then oriented towards the speaker for the remainder of the playback before turing his head in the opporsite direction about 30-45 seconds later. The adult male to the right of him moved down the branch he was sitting on almost immediately and the two AFs and their JF2s also moved away from the speaker and down the trees they were in. After the stimulus was finished individuals were exchanging quiet chirps with each other. They eventually began foraging again at the time of the next focal scan at 12:25. All individuals in the group remained in the area after the playback and resumed foraging. 
PB-25-007,ScreamingPiha1,Screaming Piha,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-05,10:40,TRUE,PB25007,GPS PP19,FS72721,AF/,FALSE,Lagothrix,D/,Foraging/,TRUE,20/,5/,4/,AF/AF/AF/IN1/,20/,5/,4/,AF/AF/AF/IN1/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0020/MVI_0660/,Focal was foraging on spondias fruit at the time of the playback. Once the playback was initiated she continued foraging in silence along with 2 other adult females one of which had an IN1 riding on her chest. In the time after the playback foraging continued
PB-25-008,HarpyEagle5v2,Harpy Eagle,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-05,11:22,FALSE,PB25008,GPS PP19,FS72721,AF/,FALSE,Lagothrix,D/,Resting/,FALSE,10/,7/,2/,AF/AF/,10/,7/,1/,AF/AF/,TRUE,Vigilance/Orientation/,0/,17/,Away/,Up/,Yes/Vocalize/,ZOOM0021/ZOOM0022/MVI_0661,Focal was resting and facing the opposite direction of the speaker at the time of the playback. Once the first note of the playback was heard the female turned her head and body in the direction of the speaker and appeared to be looking at the speaker. She remained in this position for the duration of the playback and returned to her former position within 6 seconds of the end of the final note. She remained still for 16 seconds befor getting up to grab an insect and then moved to a new resting area roughly 20 to 30 meters from where she had been previously and at an increased height.
PB-25-009,ScreamingPiha2,Screaming Piha,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-06,9:15,TRUE,PB25009,GPS PP19,FS72621,AM/,FALSE,Lagothrix,D/,Resting/,TRUE,10/,5/,4/,AM/AF/IN1/ADULT/,10/,5/,4/,AM/AF/IN1/ADULT/,FALSE,None/,NA/,NA/,NA/,NA/,No/,ZOOM0023/MVI_0688/,Focal was resting at the time of the playback. He had no apparent reaction to the playback and seemed to adjust his head so that his right ear was against the site of the branch possibly to shift to a better resting position.
PB-25-010,HarpyEagle20v2,Harpy Eagle,FALSE,FALSE,Nico Jaworski/Jack Jaworski/,2025-07-06,10:05,FALSE,PB25010,GPS PP19,FS72621,AM/,FALSE,Lagothrix,D/,Foraging/,TRUE,5-10/,7/,3/,AM/AF/IN1/,5-10/,7/,3/,AM/AF/IN1/,TRUE,AlarmBark/Orientation,2/,20/,Away/,Up/,Yes/Vocalize/,ZOOM0024/MVI_0696/,"The adult male was resting at the time of the playback and had just slightly adjusted his position prior to the playback. After the first note was played he let out a loud alarm bark and oriented his head towards the speaker, moving it from side to side in the general direction of the speaker's hiding spot. After the playback concluded he remained still for 30 seconds before moving away and up from his previous position. There was no apparent response from the AF with the IN1."
