"","AV_ID","target_time","mean_yProj","mean_xProj","n_points","lon","lat","date","time","Group"
"1","AV74100",2025-06-21 13:30:00,9929586.34063143,372385.74356819,12,-76.1468304124994,-0.636925741666628,2025-06-21,"13:30:00"," G"
"2","AV74100",2025-06-21 13:45:00,9929579.10731571,372392.094768782,12,-76.1467733583337,-0.636991183249932,2025-06-21,"13:45:00"," G"
"3","AV74100",2025-06-21 14:00:00,9929594.47956991,372402.80631172,12,-76.1466770791687,-0.636852155417423,2025-06-21,"14:00:00"," G"
"4","AV74100",2025-06-21 14:15:00,9929590.00888787,372376.660142115,12,-76.1469120241674,-0.636892542249969,2025-06-21,"14:15:00"," G"
"5","AV74100",2025-06-21 14:30:00,9929535.88111995,372416.493996133,12,-76.1465542058328,-0.637382234000291,2025-06-21,"14:30:00"," G"
"6","AV74100",2025-06-21 14:45:00,9929452.9345782,372399.622001073,12,-76.1467059749995,-0.638132491166322,2025-06-21,"14:45:00"," G"
"7","AV74100",2025-06-21 15:00:00,9929424.71152518,372382.723260717,12,-76.1468578749978,-0.638387748088149,2025-06-21,"15:00:00"," G"
"8","AV74101",2025-06-22 08:45:00,9929575.16230278,372233.30584724,12,-76.1482001616668,-0.637026547916742,2025-06-22,"08:45:00"," G"
"9","AV74101",2025-06-22 09:00:00,9929580.7647254,372188.815795701,12,-76.148599915,-0.636975781666685,2025-06-22,"09:00:00"," G"
"10","AV74101",2025-06-22 09:15:00,9929572.28344236,372129.007213738,12,-76.1491373408338,-0.637052378250461,2025-06-22,"09:15:00"," G"
"11","AV74101",2025-06-22 09:30:00,9929549.70132954,372074.218011435,12,-76.1496296933337,-0.637256533499679,2025-06-22,"09:30:00"," G"
"12","AV74101",2025-06-22 09:45:00,9929553.51670701,372001.196832129,12,-76.1502858158339,-0.637221874166503,2025-06-22,"09:45:00"," G"
"13","AV74101",2025-06-22 10:00:00,9929525.12972733,371952.468321689,12,-76.1507237216677,-0.637478549166941,2025-06-22,"10:00:00"," G"
"14","AV74101",2025-06-22 10:15:00,9929527.77398885,371967.306678419,12,-76.1505903866667,-0.63745466058335,2025-06-22,"10:15:00"," G"
"15","AV74101",2025-06-22 10:30:00,9929533.70618314,371936.902212329,12,-76.1508635733329,-0.637400939666595,2025-06-22,"10:30:00"," G"
"16","AV74101",2025-06-22 10:45:00,9929532.81741954,371902.512091296,12,-76.1511725866662,-0.637408909417022,2025-06-22,"10:45:00"," G"
"17","AV74101",2025-06-22 11:00:00,9929522.84890325,371903.81059722,10,-76.1511609389998,-0.637499081899361,2025-06-22,"11:00:00"," G"
"18","AV74102",2025-06-22 11:30:00,9929496.7023204,371826.578609522,12,-76.1518549574999,-0.637735433583336,2025-06-22,"11:30:00"," G"
"19","AV74102",2025-06-22 11:45:00,9929554.24505115,371794.609612221,12,-76.1521420983294,-0.637214868333173,2025-06-22,"11:45:00"," G"
"20","AV74102",2025-06-22 12:00:00,9929579.56874417,371784.751375525,12,-76.1522306283333,-0.636985783916671,2025-06-22,"12:00:00"," G"
"21","AV74102",2025-06-22 12:15:00,9929611.47557965,371785.796219118,12,-76.1522211758318,-0.636697174001075,2025-06-22,"12:15:00"," G"
"22","AV74102",2025-06-22 12:30:00,9929696.33377336,371831.68008396,12,-76.1518087174936,-0.635929685169103,2025-06-22,"12:30:00"," G"
"23","AV74102",2025-06-22 12:45:00,9929736.19878069,371877.208043682,12,-76.1513995475007,-0.635569179583942,2025-06-22,"12:45:00"," G"
"24","AV74102",2025-06-22 13:00:00,9929720.07423551,371969.709196769,12,-76.1505684133335,-0.635715220083567,2025-06-22,"13:00:00"," G"
"25","AV74102",2025-06-22 13:15:00,9929730.18115361,372051.045078215,12,-76.1498375516671,-0.635623962166145,2025-06-22,"13:15:00"," G"
"26","AV74102",2025-06-22 13:30:00,9929738.18007929,372105.197173543,12,-76.1493509533334,-0.635551717166671,2025-06-22,"13:30:00"," G"
"27","AV74102",2025-06-22 13:45:00,9929741.82910379,372110.36034294,12,-76.1493045525002,-0.635518720417728,2025-06-22,"13:45:00"," G"
"28","AV74103",2025-06-23 07:45:00,9929519.75042112,372353.182530989,12,-76.1471231224998,-0.637528016333287,2025-06-23,"07:45:00"," G"
"29","AV74103",2025-06-23 08:00:00,9929521.69249326,372356.640731186,12,-76.1470920449995,-0.637510456333454,2025-06-23,"08:00:00"," G"
"30","AV74103",2025-06-23 08:15:00,9929507.22205467,372359.234799814,12,-76.1470687649998,-0.637641353583172,2025-06-23,"08:15:00"," G"
